Compound Method,3090,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,3090_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.546,66213,,6487,,16.596,592550,,54378,,16.558,6542,,562,
Hexanoic acid,9.849,370315,,602818,,10.049,45059,,54589,,9.729,13794,,23018,
Heptanoic acid,12.720,75414,,126643,,12.781,4025,,5508,,13.548,816,,189,
Octonoic acid,15.770,834160,,973330,,15.648,56569,,52318,,15.616,36692,,29891,
Dodecane (n-C12),16.163,502281,,1318413,,16.186,24928,,63614,,16.154,44936,,112743,
Benzothiazole,17.844,70115,,17442,,17.881,1121,,299,,17.866,5448,,1021,
Dichlorvos,17.844,1990,,10,14,18.115,158941,,81675,1919,17.988,4,,9,
Nonanoic acid,18.566,1127510,,1063205,,18.447,188068,,136112,,18.422,47355,,35591,
Tridecane (n-C13),18.986,130437,,164470,,18.989,8835,,11621,,18.981,12685,,13064,
2-Methylnaphthalene,19.932,13511,,14770,7967,19.918,467064,,491488,182935,19.930,1739,,1944,1004
1-Methylnaphthalene,20.325,11911,,12019,4161,20.317,457715,,503120,186874,20.333,1793,,2044,
Decanoic acid,21.206,1071326,,885617,536825,21.097,47010,,29488,26329,21.092,41606,,24970,19345
"1,2-Benzenedicarboxylic acid",21.351,585847,,360020,,21.354,7297,,63096,,21.377,33195,,31794,
Tetradecane (n-C14),21.734,1446436,,2918197,,21.710,42999,,88726,,21.722,124526,,247031,
Biphenyl,22.155,21429,,22816,,22.137,606218,,63442,,22.153,2165,,2815,
"2,6-Methylnaphthalene",23.056,8430,,7064,,23.025,187488,,182413,,23.048,456,,418,
C2-Naphthalenes,23.056,8469,,7116,,23.025,187397,,182482,,23.048,471,,298,
Dimethyl phthalate (DMP),24.015,26603,,,3229,24.001,644924,,546,65346,24.020,2416,,15,212
Acenaphthylene,24.147,10085,,4378,,24.133,753088,,43532,,24.149,997,,,
Pentadecane (n-C15),24.286,46637,,80739,,24.279,1301,,3273,,24.227,4377,,5833,
Acenaphthene,25.039,15301,,11849,,25.028,652015,,76631,,25.033,1683,,2520,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",26.255,44144,,20,87,25.872,1120,,164,,26.094,1593,,5,
Dodecanoic acid,26.255,4883893,,3414998,1801502,26.089,42173,,19973,11462,26.098,202131,,110454,74692
C3-Naphthalenes,26.340,6986,,7640,,27.041,191400,,230936,,26.338,765,,620,
Hexadecane (n-C16),26.733,1201368,,2302273,,26.716,56853,,106739,,26.718,105036,,193586,
"2,3,5-Trimethylnaphthalene",27.055,4270,,3956,,27.041,191347,,228454,,27.074,354,,253,
Diethyl Phthalate (DEP-D4),27.357,298,,361,,27.251,765141,,64010,,27.260,17,,25,
Diethyl phthalate (DEP),27.306,564752,,45254,,27.292,713051,,60981,,27.301,50735,,5054,
Fluorene,27.689,24432,,27946,,27.671,507853,,609247,,27.684,2023,,2339,
Benzophenone,28.509,138052,,45724,,28.502,1430,,70,,28.504,7905,,4027,
C4-Naphthalenes,29.058,4381,,8783,,31.633,35260,,5033,,29.053,110,,461,
Heptadecane (n-C17),29.044,189380,,305486,,28.820,12858,,16629,,29.039,11428,,21686,
4-Bromodiphenyl ether (BDE 3),29.912,761,,30,,29.901,187119,,191184,,29.859,19,,,
Diacetamate,30.247,64608,,5428,,30.200,1935,,57,,29.856,607,,44,
Tetradecanoic acid,30.766,4518830,,2909061,2275594,30.647,28582,,13668,11268,30.649,160665,,77503,80359
Octadecane (n-C18),31.318,75846,,138061,,31.223,74020,,130528,,31.320,3317,,,
Tri(2-chloroethyl) phosphate (TCEP),31.603,14977,,20455,,31.579,1489,,764,,31.574,1370,,1989,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.050,803857,,30503,,32.026,4740,,206,,32.032,66521,,2704,
Phenanthrene,32.338,310775,,37674,,32.335,402570,,57309,,32.337,22407,,4041,
Anthracene,32.654,43858,,8670,,32.650,822014,,95075,,32.652,3151,,,
Pentadecanoic acid,32.826,982539,,615879,403539,32.975,20292,,,12202,32.770,30579,,12156,10928
Diisobutyl phthalate,33.145,7014317,,43230,,33.131,1118014,,7452,,33.136,635042,,4275,
Nonadecane  (n-C19),33.328,523462,,945373,,33.300,6663,,11284,,33.316,40018,,66208,
Dinonacyl amine (?),33.321,46789,,1251,,33.317,888,,460,,33.323,3302,,,
Aspirin,33.890,229966,,102870,,33.860,310,,1319,,33.875,20098,,8360,
Caffeine,34.175,80299,,10766,,34.212,4510,,23168,,34.170,7650,,9257,
n-Hexadecanoic acid,35.033,19636170,,12618729,9229011,34.825,93455,,43384,42620,34.844,981510,,436792,437777
C1-Phenanthrenes,34.975,45562,,,,35.435,374325,,50693,,34.966,4085,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.022,236,,541,,35.137,108226,,52595,,34.844,33,,35,
Dibutyl phthalate,35.146,6398346,,49180,,35.130,1361100,,11080,,35.132,590956,,5053,
Eicosane (n-C20),35.344,334098,,651522,,35.330,80309,,143055,,35.332,29611,,56498,
1-Methylphenanthrene,35.439,28755,,3198,,35.435,374302,,50589,,35.458,3255,,197,
Chlorpyrifos,35.870,4215,,3340,,35.859,127026,,88827,,35.878,43,,,
bis(2-Methoxyethyl)phthalate,36.700,105674,,,,36.093,110922,,71003,,36.657,13572,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",37.269,127,,109,,36.825,223178,,107374,,37.176,9,,4,
bis(4-Methyl-2-pentyl)phthalate,37.127,1836,,,,37.062,326223,,37547,,37.122,251,,17,
Heneicosane,37.266,514840,,980068,,37.062,25007,,2433,,37.240,21550,,41334,
1-Hexadecanol,37.276,2559571,,4123817,,37.459,2148,,26644,,37.505,214604,,303291,
Didecyl amine (?),37.523,1314969,,19764,,37.723,18871,,258,,37.633,243328,,3596,
C2-Phenanthrenes,37.601,50277,,32667,,38.499,4441,,,,37.586,3530,,3273,
bis(2-Ethoxyethyl)phthalate,38.208,12674,,,,38.191,131597,,64747,,38.186,172,,,
Fluoranthene,38.279,336084,,28834,,38.272,577134,,42400,,38.277,28400,,3604,
"9,17-Octadecadienal, (Z)-",38.425,8699063,,1859446,,38.662,7705,,106,,38.260,389624,,59109,
Octadecanoic acid,38.821,7837819,,4904767,4316619,38.655,30304,,16366,17439,38.667,274695,,129728,143809
Dipentyl phthalate (DPP),38.848,28483,,336,246,38.750,1368278,,12935,6416,38.728,423,,7,
Docosane (n-C22),39.109,776973,,1495227,,39.085,93018,,158195,,39.094,62844,,108938,
Pyrene,39.330,279640,,27936,,39.326,594577,,53899,,39.325,24179,,2603,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.736,914376,,144362,49116,39.668,17619,,4284,1229,39.687,50648,,10038,3270
"p,p'-DDE",39.889,2936,,1328,,39.878,331129,,173832,,39.867,119,,,
d14-Terphenyl (IS),40.200,3682129,,236990,,40.190,1839840,,120505,,40.192,286839,,22036,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.207,757,,3770,34,40.590,209647,,212728,110498,40.612,6,,,
Tricosane (n-C23),40.868,1342579,,2300283,3399305,40.844,3050,,3953,6999,40.850,117549,,207611,325755
C3-Phenanthrenes,40.956,2138,,,,40.177,750,,,,40.958,232,,,
