Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.587,494176,,41191,,16.560,2657,,401,,16.578,1975,,77,,16.558,1933,,102,
Hexanoic acid,9.924,19239,,36249,,9.745,90935,,159205,,9.746,80650,,156821,,9.743,98950,,160278,
Heptanoic acid,12.971,195,,323,,12.999,30,,75,,12.850,96,,137,,13.165,64,,124,
Octonoic acid,15.604,24285,,31811,,15.639,107441,,128983,,15.632,109256,,133815,,15.632,119789,,134448,
Dodecane (n-C12),16.183,17668,,46810,,15.750,502,,38,,15.636,3975,,53,,15.632,5226,,72,
Benzothiazole,17.861,414,,32,,17.906,43,,16,,17.859,99,,11,,17.886,66,,6,
Dichlorvos,18.112,129279,,55595,1226,18.065,6,,5,,18.228,16,,18,5,18.272,16,,,15
Nonanoic acid,18.420,127635,,114096,,18.475,2588,,,,18.496,2604,,974,,18.527,913,,,
Tridecane (n-C13),18.989,5184,,5991,,19.027,267,,402,,18.984,280,,268,,19.235,774,,,
2-Methylnaphthalene,19.928,321148,,348538,104973,19.919,502,,215,,19.943,249,,260,,19.940,191,,303,
1-Methylnaphthalene,20.324,318758,,359712,112888,20.339,931,,843,,20.346,1096,,1186,,20.160,49,,90,
Decanoic acid,21.097,24421,,21590,9091,21.112,125329,,105415,51620,21.109,121420,,103615,50674,21.109,134325,,100290,55799
"1,2-Benzenedicarboxylic acid",21.389,2361,,,,21.417,1282,,965,,21.400,265,,1926,,21.427,2616,,1266,
Tetradecane (n-C14),21.724,32608,,61826,,21.722,195,,,,21.753,82,,,,21.770,35,,,
