Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Blank 1,,,Qualifier 1 Results,Qualifier 2 Results,Blank 2,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.587,494176,,41191,,16.548,17752,,1772,,16.545,21575,,1779,
Hexanoic acid,9.924,19239,,36249,,9.913,1460,,2820,,9.937,180,,,
Heptanoic acid,12.971,195,,323,,13.441,307,,2030,,13.444,450,,640,
Octonoic acid,15.604,24285,,31811,,15.749,502,,139,,15.667,1495,,2210,
Dodecane (n-C12),16.183,17668,,46810,,16.159,367981,,964450,,16.159,472229,,1201842,
Naphthalene-D8,16.488,489376,,49917,,16.447,2875994,,249493,,16.450,3020750,,305627,
Benzothiazole,17.861,414,,32,,17.880,4078,,904,,17.863,8107,,1985,
Dichlorvos,18.112,129279,,55595,1226,18.172,22,,24,13,17.995,27,,,
Nonanoic acid,18.420,127635,,114096,,18.595,486,,568,,18.443,7840,,3465,
Tridecane (n-C13),18.989,5184,,5991,,18.982,112541,,132140,,18.982,122176,,149221,
2-Methylnaphthalene,19.928,321148,,348538,104973,19.941,6135,,6687,1991,19.934,8481,,6886,2919
1-Methylnaphthalene,20.324,318758,,359712,112888,20.334,6451,,6544,2055,20.330,6992,,8255,3434
Decanoic acid,21.097,24421,,21590,9091,21.171,59,,255,207,21.144,475,,202,468
"1,2-Benzenedicarboxylic acid",21.389,2361,,,,21.425,417,,,,21.452,1327,,,
Tetradecane (n-C14),21.724,32608,,61826,,21.730,1030566,,2082205,,21.730,1251016,,2471388,
Biphenyl,22.148,406778,,42622,,22.164,9132,,28999,,22.157,13894,,26592,
"2,6-Methylnaphthalene",23.032,144515,,127279,,23.045,2862,,3326,,23.058,2450,,2231,
C2-Naphthalenes,23.032,144128,,129293,,24.878,97034,,30439,,24.882,103131,,33533,
Dimethyl phthalate (DMP),24.008,436929,,343,56853,24.014,830,,,,24.014,1212,,,
Acenaphthylene,24.137,523185,,27207,,24.153,506,,4272,,24.173,221,,9577,
Pentadecane (n-C15),24.235,1540,,3808,,24.421,30195,,51743,,24.421,40030,,57534,
Acenaphthene,25.032,399869,,54092,,25.034,3778,,,,25.051,3796,,,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.882,846,,10,246,26.413,228,,155,,25.278,4320,,,103
Dodecanoic acid,26.079,28884,,15057,7629,26.092,13652,,9567,5130,26.095,6928,,2988,3030
C3-Naphthalenes,27.048,134998,,163079,,26.356,3655,,3966,,26.346,1937,,2054,
Hexadecane (n-C16),26.723,40876,,74836,,26.732,869444,,1623469,,26.729,967355,,1742306,
"2,3,5-Trimethylnaphthalene",27.048,136924,,160068,,27.057,1792,,1352,,27.057,416,,315,
Diethyl Phthalate (DEP-D4),27.258,528940,,45724,,27.074,96,,219,,27.644,95,,105,
