Compound Method,CY,,,Qualifier 1 Results,Qualifier 2 Results,CY,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.559,15579,,1701,,16.550,16977,,1518,,16.603,823546,,65836,
Hexanoic acid,9.730,69550,,83462,,9.728,72114,,87684,,10.080,52434,,65982,
Heptanoic acid,12.688,16474,,21110,,12.683,15660,,21191,,12.784,4839,,7319,
Octonoic acid,15.627,54854,,49733,,15.624,60582,,49394,,15.651,72268,,60611,
Dodecane (n-C12),16.165,2247,,5228,,16.160,2385,,6213,,16.197,30189,,73017,
Naphthalene-D8,16.569,367,,,,16.556,327,,,,16.505,818615,,80510,
Benzothiazole,17.843,84875,,27750,,17.848,90130,,27284,,17.868,1601,,268,
Dichlorvos,17.850,2380,,,6,17.837,2174,,15,,18.115,183800,,99122,2187
Nonanoic acid,18.460,206262,,144588,,18.461,206207,,148057,,18.444,228122,,162966,
Tridecane (n-C13),19.005,3552,,4372,,19.007,3579,,6246,,18.986,10872,,14894,
2-Methylnaphthalene,19.931,4444,,4739,1600,19.928,5187,,4869,1549,19.918,555681,,593443,218404
1-Methylnaphthalene,20.337,4267,,4751,1730,20.338,4098,,5894,1530,20.321,549664,,599035,224602
Decanoic acid,21.100,90340,,54443,43568,21.108,87573,,50351,45639,21.097,56238,,34581,27479
"1,2-Benzenedicarboxylic acid",21.361,61878,,46874,,21.362,62991,,44537,,21.365,8526,,73280,
Tetradecane (n-C14),21.723,4629,,11586,,21.721,5395,,15926,,21.711,51312,,101621,
Biphenyl,22.150,5948,,45071,,22.158,5874,,44627,,22.141,710637,,73725,
"2,6-Methylnaphthalene",23.031,1719,,2369,,23.043,1188,,1812,,23.025,226214,,218947,
C2-Naphthalenes,23.031,1788,,2369,,23.053,1196,,1839,,23.025,226293,,219059,
Dimethyl phthalate (DMP),24.004,7304,,,767,24.019,7900,,26,1080,24.005,758121,,639,82904
Acenaphthylene,24.156,1111,,281,,24.154,1356,,,,24.134,887608,,50306,
Pentadecane (n-C15),24.289,5027,,10754,,24.290,5063,,9217,,24.229,3825,,,
Acenaphthene,25.051,230,,2432,,25.056,685,,2342,,25.028,764709,,89262,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.902,903,,11,79,26.133,5863,,12,244,25.862,1405,,282,781
Dodecanoic acid,26.129,614580,,318903,218651,26.133,595835,,315483,233867,26.086,40730,,25114,14148
C3-Naphthalenes,26.349,2398,,2774,,26.354,2180,,2740,,27.041,228037,,271969,
Hexadecane (n-C16),26.719,9716,,16431,,26.730,9088,,17575,,26.713,67256,,123754,
"2,3,5-Trimethylnaphthalene",27.057,1396,,1392,,27.045,946,,1479,,27.041,228437,,271909,
Diethyl Phthalate (DEP-D4),27.379,139,,238,,27.601,71,,,,27.251,898030,,74910,
Diethyl phthalate (DEP),27.305,248125,,22273,,27.306,261431,,23825,,27.292,839997,,72040,
Fluorene,27.681,2769,,2687,,27.689,3129,,2776,,27.672,597053,,718340,
Benzophenone,28.501,108769,,52609,,28.499,114055,,54959,,28.478,755,,718,
C4-Naphthalenes,29.047,1013,,,,29.038,1817,,1561,,31.633,44283,,6251,
Heptadecane (n-C17),29.030,13995,,29542,,29.031,16081,,31867,,29.037,5573,,7329,
4-Bromodiphenyl ether (BDE 3),29.813,12,,11,,29.899,435,,17,,29.905,219896,,222331,
Diacetamate,30.257,7841,,741,,30.268,2918,,757,,30.176,3101,,63,
Tetradecanoic acid,30.707,1552428,,759896,821479,30.708,1627088,,789779,845598,30.647,34053,,17905,16219
Octadecane (n-C18),31.239,35352,,75119,,31.241,41666,,75109,,31.227,85685,,148778,
Tri(2-chloroethyl) phosphate (TCEP),31.592,2226,,3085,,31.596,2461,,2082,,31.589,1097,,2229,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.043,85781,,4121,,32.040,90948,,3853,,32.030,5750,,183,
Phenanthrene,32.337,27632,,3585,,32.345,29803,,4643,,32.338,468689,,69044,
Anthracene,32.663,2754,,203,,32.667,2472,,1431,,32.650,969722,,111976,
Pentadecanoic acid,32.812,830970,,387318,363225,32.813,881652,,408699,368941,32.979,22169,,3541,15861
Diisobutyl phthalate,33.137,1376780,,8647,,33.138,1461651,,9635,,33.131,1309729,,8463,
Nonadecane  (n-C19),33.330,68755,,135592,,33.331,75235,,144520,,33.294,7841,,12686,
Dinonacyl amine (?),33.252,39005,,,,33.254,48251,,1738,,33.335,719,,,
Aspirin,33.873,60629,,24165,,33.881,62619,,25364,,33.867,240,,1521,
Caffeine,34.174,38841,,4839,,34.172,38244,,6461,,34.209,5454,,26206,
n-Hexadecanoic acid,34.954,9487543,,4470232,4463792,34.958,9728180,,4589193,4685233,34.826,123389,,55788,54802
C1-Phenanthrenes,34.974,8129,,2479,,34.979,8983,,2384,,35.436,438383,,61801,
"2,4-Dibromodiphenyl ether (BDE 7)",34.960,344,,340,,34.938,364,,207,,35.134,126283,,61218,
Dibutyl phthalate,35.140,1943483,,16058,,35.141,2017200,,15402,,35.131,1572336,,13274,
Eicosane (n-C20),34.954,1173300,,2279503,,34.955,1229201,,2322029,,35.334,94560,,163644,
1-Methylphenanthrene,35.343,6853,,,,35.348,8529,,555,,35.436,438289,,61651,
Chlorpyrifos,34.937,347,,800,,35.883,22,,387,,35.859,146254,,102068,
bis(2-Methoxyethyl)phthalate,36.241,3629,,,,36.256,6003,,,,36.097,127648,,84772,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.668,6,,5,,37.086,9,,11,,36.825,262791,,126196,
bis(4-Methyl-2-pentyl)phthalate,37.827,13052,,186,,36.981,1130,,70,,37.066,378386,,39597,
Heneicosane,37.295,233972,,463725,,37.293,237860,,462810,,37.059,30922,,1987,
1-Hexadecanol,37.295,759901,,1072306,,37.297,754345,,1081111,,36.696,10436,,13190,
Didecyl amine (?),37.488,7010443,,110661,,37.499,5799482,,89652,,37.713,9501,,14,
C2-Phenanthrenes,37.583,7827,,4954,,37.588,7839,,5794,,38.499,5712,,,
bis(2-Ethoxyethyl)phthalate,38.187,3184,,119278,,38.201,2668,,109534,,38.184,150203,,72562,
Fluoranthene,38.285,22049,,6054,,38.279,22878,,4902,,38.272,674928,,49478,
"9,17-Octadecadienal, (Z)-",38.312,2172416,,369696,,38.310,2290750,,381390,,38.154,59735,,952,
Octadecanoic acid,38.719,2752361,,1184276,1476626,38.723,2808079,,1216460,1534996,38.669,35599,,19056,14108
Dipentyl phthalate (DPP),38.844,7504,,71,,38.835,7958,,45,,38.750,1588404,,15421,7744
Docosane (n-C22),39.098,75197,,134195,,39.093,81668,,141665,,39.086,110483,,188296,
Pyrene,39.332,25356,,2321,,39.337,25816,,2463,,39.326,706623,,62245,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.651,584507,,100113,30836,39.652,562149,,96733,32302,39.675,18867,,2206,1131
"p,p'-DDE",40.200,1645,,17,,40.194,1845,,22,,39.879,388359,,203050,
d14-Terphenyl (IS),40.193,1976832,,133805,,40.191,2078924,,137989,,40.187,2151965,,141417,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.322,33,,,7,40.194,499,,2258,,40.594,244466,,249720,128000
Tricosane (n-C23),40.945,31775,,24462,,40.858,136442,,247334,408249,40.855,3014,,5518,8519
C3-Phenanthrenes,41.382,3311,,,,41.387,3836,,,,40.177,800,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.623,7,,20,,41.451,18,,18,,41.485,222384,,223650,
DDD,41.877,47,,22,,41.895,55,,16,,41.885,711260,,441422,
Dihexyl phthalate (DHP),42.480,3901066,,2418,,42.481,4107292,,4515,,42.112,1743901,,16601,
Benzyl butyl phthalate (BBP),42.480,3901066,,1211928,151093,42.481,4122806,,1283152,154622,42.475,716632,,227957,29519
Tetracosane (n-C24),42.548,224434,,378190,,42.549,238067,,401654,,42.549,130517,,215038,
Bis(2-ethylhexyl) adipate,42.765,239342,,253319,,42.763,250287,,263080,,42.763,2539,,669,
"p,p'-DDT",43.036,18,,15,,42.987,18,,,,42.996,130672,,78347,
Triphenyl phosphate,43.321,910,,163,,43.308,1013,,,,43.322,898,,314,
Pentacosane (n-C25),44.185,347858,,616956,,44.186,366185,,656139,,44.162,5318,,,
bis(2-n-Butoxyethyl)phthalate,45.185,108161574,,2977,,45.186,110021942,,3187,,44.308,249431,,56850,
