Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,FS,,,Qualifier 1 Results,Qualifier 2 Results,FS_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.590,535641,,51906,,16.550,47175,,3639,,16.546,4561,,137,
Hexanoic acid,9.979,23699,,31267,,9.792,162742,,265453,,9.985,180,,,
Heptanoic acid,12.761,1649,,4055,,12.707,35680,,61681,,12.954,175,,136,
Octonoic acid,15.618,33255,,36167,,15.709,374964,,420873,,15.719,2880,,,
Dodecane (n-C12),16.184,19697,,50233,,16.160,546125,,1427962,,16.153,45951,,115828,
Naphthalene-D8,16.492,531196,,53922,,16.448,2794602,,240826,,16.448,190106,,17220,
Benzothiazole,17.871,591,,50,,17.841,100302,,32193,,17.864,8809,,2098,
Dichlorvos,18.112,143788,,60003,1215,17.851,1185,,,3,18.281,9,,,8
Nonanoic acid,18.427,157982,,152721,,18.509,472454,,436945,,18.434,16276,,12954,
Tridecane (n-C13),18.976,6334,,7187,,18.987,111858,,154706,,18.979,11028,,13162,
2-Methylnaphthalene,19.922,342450,,371115,115491,19.929,20831,,22267,7260,19.928,2124,,2636,1119
1-Methylnaphthalene,20.322,345740,,383578,122728,20.329,15214,,16261,5978,20.345,2112,,2528,
Decanoic acid,21.081,34202,,24607,14308,21.169,557070,,455071,286588,21.104,16091,,12127,6140
"1,2-Benzenedicarboxylic acid",21.416,5208,,2565,,21.352,101913,,101827,,21.399,5981,,6704,
Tetradecane (n-C14),21.721,34974,,67717,,21.735,1478274,,2950635,,21.721,127205,,244518,
Biphenyl,22.145,444150,,45930,,22.148,28848,,25037,,22.155,2750,,2286,
"2,6-Methylnaphthalene",23.022,158223,,138073,,23.043,8843,,7700,,23.059,531,,560,
C2-Naphthalenes,23.022,156051,,138666,,23.043,9020,,3552,,23.059,554,,321,
Dimethyl phthalate (DMP),24.002,467065,,194,52742,24.012,38153,,,4399,24.032,3177,,27,266
Acenaphthylene,24.137,559471,,30959,,24.145,9855,,2052,,24.168,680,,,
Pentadecane (n-C15),24.273,936,,,,24.226,63016,,99470,,24.276,2799,,5511,
Acenaphthene,25.032,435781,,57706,,25.046,7033,,12093,,25.049,731,,792,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.873,990,,171,248,26.171,14210,,24,,26.076,240,,,18
Dodecanoic acid,26.079,35162,,22713,10999,26.171,1509035,,1038504,564729,26.072,51922,,26950,18393
C3-Naphthalenes,27.038,144565,,170179,,26.341,5087,,5409,,26.333,28,,,
Hexadecane (n-C16),26.720,43868,,81939,,26.730,1201757,,2254660,,26.719,99674,,186203,
"2,3,5-Trimethylnaphthalene",27.038,144515,,170912,,27.056,2257,,2976,,27.069,86,,76,
Diethyl Phthalate (DEP-D4),27.255,508083,,45333,,27.398,288,,443,,27.207,19,,,
Diethyl phthalate (DEP),27.299,543282,,43787,,27.306,121088,,10758,,27.299,14163,,1279,
Fluorene,27.675,395878,,475588,,27.689,9389,,11627,,27.685,1037,,964,
Benzophenone,28.509,949,,115,,28.503,126297,,65057,,28.522,9632,,5314,
C4-Naphthalenes,31.634,24703,,4545,,29.031,2877,,9323,,29.041,190,,548,
Heptadecane (n-C17),29.041,2488,,4742,,29.045,117414,,287631,,29.041,7920,,23845,
4-Bromodiphenyl ether (BDE 3),29.902,118787,,123588,,29.899,583,,14,,29.898,79,,1,
Diacetamate,30.190,1695,,52,,30.204,5024,,,,30.251,545,,74,
Tetradecanoic acid,30.641,26259,,15608,12880,30.750,3242638,,2076818,1683711,30.640,120720,,55642,62528
Octadecane (n-C18),31.237,54016,,102157,,31.322,74117,,106661,,31.234,59173,,98647,
Tri(2-chloroethyl) phosphate (TCEP),31.590,954,,1413,,31.604,11353,,13837,,31.579,960,,1439,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3259,,47,,32.047,134203,,5577,,32.020,12188,,123,
Phenanthrene,32.332,309762,,37730,,32.336,242562,,34827,,32.348,18741,,3149,
Anthracene,32.647,627196,,62342,,32.651,26497,,7295,,32.657,2291,,221,
Pentadecanoic acid,32.966,28687,,3345,16218,32.840,1501962,,916340,624802,32.769,50466,,19974,20380
Diisobutyl phthalate,33.135,846564,,5666,,33.145,6327528,,39798,,33.131,542394,,3094,
Nonadecane  (n-C19),33.311,5031,,8705,,33.328,539056,,920648,,33.314,34819,,56027,
Dinonacyl amine (?),33.304,317,,,,33.976,3351367,,46890,,33.796,190869,,3385,
Aspirin,33.874,241,,1486,,33.881,42936,,16673,,33.863,4272,,1544,
Caffeine,34.209,3372,,13473,,34.176,56295,,58878,,34.178,4706,,6859,
n-Hexadecanoic acid,34.816,72849,,42081,27376,35.026,16089865,,10036753,7782145,34.839,825369,,390050,375273
C1-Phenanthrenes,35.436,259968,,43449,,34.979,115925,,,,34.978,9611,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.138,81005,,39430,,35.013,550,,727,,35.141,9,,3,
Dibutyl phthalate,35.138,1012467,,8826,,35.145,7776370,,62606,,35.134,710765,,5458,
Eicosane (n-C20),35.338,59662,,106061,,35.345,397205,,776467,,35.331,32241,,51934,
1-Methylphenanthrene,35.436,260816,,43333,,35.443,110164,,12466,,35.449,9239,,1467,
Chlorpyrifos,35.860,93257,,73592,,35.870,150,,176,,35.842,7,,11,
bis(2-Methoxyethyl)phthalate,36.097,61817,,54583,,35.894,125868,,,,35.809,7897,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.826,152584,,73999,,36.843,89,,68,,36.815,7,,3,
bis(4-Methyl-2-pentyl)phthalate,37.063,242158,,29272,,36.985,7204,,227,,36.964,377,,19,
Heneicosane,37.375,3160,,3586,,37.270,654710,,1292296,,37.249,18081,,32591,
1-Hexadecanol,36.988,1187,,18867,,37.270,4151954,,4934552,,37.527,182608,,265828,
Didecyl amine (?),37.656,2301,,63,,37.541,3107644,,21553,,37.205,46880,,2180,
C2-Phenanthrenes,38.503,3378,,,,37.599,274796,,183204,,37.588,22702,,14774,
bis(2-Ethoxyethyl)phthalate,38.188,96025,,47804,,38.290,4209,,,,38.259,986,,21632,
Fluoranthene,38.269,411747,,32126,,38.276,1732729,,138844,,38.276,133070,,12280,
"9,17-Octadecadienal, (Z)-",38.649,5913,,95,,38.415,12456887,,1841420,,38.252,175989,,69663,
Octadecanoic acid,38.659,42778,,23602,20668,38.822,8989813,,5461759,5195323,38.662,360766,,155584,187534
Dipentyl phthalate (DPP),38.747,1017916,,11198,5357,38.829,14985,,,1196,38.967,510,,22,55
Docosane (n-C22),39.093,69703,,121618,,39.103,385859,,619028,,39.089,34920,,53425,
Pyrene,39.323,429343,,40242,,39.334,1372158,,124301,,39.330,106348,,11945,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.808,15439,,1423,51,39.717,563756,,98917,30793,39.713,47715,,8042,2898
"p,p'-DDE",39.879,271929,,131647,,40.198,3692,,147,,40.197,298,,4,
d14-Terphenyl (IS),40.191,1259316,,83505,,40.198,3983763,,251992,,40.187,296655,,21990,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,150008,,150039,79432,40.598,404,,285,86,40.577,8,,25,22
Tricosane (n-C23),40.848,1171,,2794,4282,40.865,397075,,1127071,1288295,40.844,37473,,105576,103367
C3-Phenanthrenes,41.834,136,,,,41.021,4439,,,,40.943,446,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.479,131694,,129941,,41.486,744,,892,,41.482,19,,59,
DDD,41.885,315544,,196003,,41.858,272,,532,,41.854,36,,45,
Dihexyl phthalate (DHP),42.116,1091831,,7386,,42.235,371179,,1987,,42.214,36620,,95,
Benzyl butyl phthalate (BBP),42.478,435329,,169273,18526,42.492,1798891,,1145034,61758,42.471,150106,,,6874
Tetracosane (n-C24),42.553,82929,,136950,,42.580,1069256,,2311648,,42.546,93753,,195827,
Bis(2-ethylhexyl) adipate,41.824,3220,,935,,42.784,482949,,522101,,42.763,42529,,36547,
"p,p'-DDT",42.993,244684,,152439,,43.129,125,,,,43.108,62,,18,
Triphenyl phosphate,43.312,672,,279,,43.329,2082,,1467,,43.288,60,,,
Pentacosane (n-C25),44.179,6151,,16979,,44.193,1020133,,2669831,,44.176,83787,,231147,
bis(2-n-Butoxyethyl)phthalate,44.312,151345,,40235,,44.170,36412564,,28317,,44.144,3773359,,1705,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.023,176939,,78944,45518,45.817,22338,,16063,10770,45.799,1990,,1718,1077
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.078,197354,,67674,49482,45.817,22348,,16061,10762,45.799,1979,,1714,1144
Dicyclohexyl phthalate,45.145,2156406,,209627,3261,45.190,92373858,,13488502,19417,45.148,11621744,,1127322,1866
