Compound Method,Farm-Soil,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Farm-Soil_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.561,732,,16,,16.603,823546,,65836,,16.554,3995,,246,
Hexanoic acid,10.136,48,,,,10.080,52434,,65982,,9.959,103,,68,
Heptanoic acid,12.539,26,,60,,12.784,4839,,7319,,13.047,43,,36,
Octonoic acid,15.795,13,,12,,15.651,72268,,60611,,15.758,71,,34,
Dodecane (n-C12),16.185,94,,60,,16.197,30189,,73017,,16.158,42459,,105270,
Naphthalene-D8,16.466,21,,32,,16.505,818615,,80510,,16.449,217435,,20010,
Benzothiazole,17.761,25,,4,,17.868,1601,,268,,17.899,324,,43,
Dichlorvos,17.896,15,,6,14,18.115,183800,,99122,2187,17.933,4,,7,
Nonanoic acid,18.669,67,,48,,18.444,228122,,162966,,18.787,189,,149,
Tridecane (n-C13),18.696,43,,94,,18.986,10872,,14894,,18.981,10637,,13616,
2-Methylnaphthalene,19.913,76,,72,25,19.918,555681,,593443,218404,19.943,1382,,1657,13373
1-Methylnaphthalene,20.330,214,,154,50,20.321,549664,,599035,224602,20.326,2100,,2275,915
Decanoic acid,21.502,38,,14,27,21.097,56238,,34581,27479,21.251,32,,13,21
"1,2-Benzenedicarboxylic acid",21.140,20,,46,,21.365,8526,,73280,,21.387,19,,,
Tetradecane (n-C14),21.790,31,,41,,21.711,51312,,101621,,21.719,128417,,255308,
Biphenyl,22.139,54,,64,,22.141,710637,,73725,,22.173,1489,,3095,
"2,6-Methylnaphthalene",23.054,48,,,,23.025,226214,,218947,,23.078,317,,238,
C2-Naphthalenes,23.054,50,,,,23.025,226293,,219059,,24.881,8718,,4000,
Dimethyl phthalate (DMP),24.037,20,,13,,24.005,758121,,639,82904,24.030,37,,,
Acenaphthylene,24.183,57,,27,,24.134,887608,,50306,,24.152,114,,,
Pentadecane (n-C15),24.318,39,,142,,24.229,3825,,,,24.413,2849,,6034,
Acenaphthene,25.034,47,,173,,25.028,764709,,89262,,25.043,145,,2917,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.864,47,,,140,25.862,1405,,282,781,25.860,33,,10,21
Dodecanoic acid,25.772,58,,43,39,26.086,40730,,25114,14148,26.104,321,,504,257
C3-Naphthalenes,26.318,13,,45,,27.041,228037,,271969,,26.365,208,,488,
Hexadecane (n-C16),26.660,65,,69,,26.713,67256,,123754,,26.721,98680,,184853,
"2,3,5-Trimethylnaphthalene",27.165,91,,19,,27.041,228437,,271909,,27.063,98,,,
Diethyl Phthalate (DEP-D4),27.358,20,,20,,27.251,898030,,74910,,27.304,11,,11,
Diethyl phthalate (DEP),27.321,2827,,86,,27.292,839997,,72040,,27.317,5132,,697,
Fluorene,27.714,28,,45,,27.672,597053,,718340,,27.693,215,,,
Benzophenone,28.565,20,,,,28.478,755,,718,,28.507,1279,,307,
C4-Naphthalenes,29.005,14,,25,,31.633,44283,,6251,,29.049,89,,,
Heptadecane (n-C17),29.073,18,,115,,29.037,5573,,7329,,29.049,8483,,12560,
4-Bromodiphenyl ether (BDE 3),29.812,10,,9,,29.905,219896,,222331,,29.866,8,,,
Diacetamate,30.069,27,,47,,30.176,3101,,63,,30.167,409,,20,
Tetradecanoic acid,30.683,34,,18,,30.647,34053,,17905,16219,30.716,1692,,,218
Octadecane (n-C18),31.164,64,,221,,31.227,85685,,148778,,31.313,8446,,9597,
Tri(2-chloroethyl) phosphate (TCEP),31.659,24,,4,,31.589,1097,,2229,,31.614,93,,7,
"2-Propanol, 1-chloro-, phosphate (3:1)",31.950,9,,8,,32.030,5750,,183,,32.028,549,,10,
Phenanthrene,32.435,138,,,,32.338,468689,,69044,,32.343,1855,,,
Anthracene,32.730,104,,,,32.650,969722,,111976,,32.679,212,,84,
Pentadecanoic acid,32.899,55,,,95,32.979,22169,,3541,15861,32.851,371,,,52
Diisobutyl phthalate,33.136,464,,,,33.131,1309729,,8463,,33.133,38789,,250,
Nonadecane  (n-C19),33.391,108,,66,,33.294,7841,,12686,,33.312,33937,,49189,
Dinonacyl amine (?),33.675,551,,4,,33.335,719,,,,33.312,3154,,,
Aspirin,33.696,12,,5,,33.867,240,,1521,,33.909,48,,,
Caffeine,34.194,14,,,,34.209,5454,,26206,,34.200,63,,,
n-Hexadecanoic acid,34.987,74,,,32,34.826,123389,,55788,54802,34.814,21502,,9838,5937
C1-Phenanthrenes,35.041,19,,31,,35.436,438383,,61801,,34.227,3797,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.170,3,,,,35.134,126283,,61218,,34.993,6,,8,
Dibutyl phthalate,35.153,557,,28,,35.131,1572336,,13274,,35.135,10059,,108,
Eicosane (n-C20),35.644,81,,55,,35.334,94560,,163644,,35.335,20832,,26961,
1-Methylphenanthrene,35.492,103,,,,35.436,438289,,61651,,35.427,203,,105,
