Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm New Fatty acid Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm New Fatty acid Std,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.580,463616,,39081,,16.553,826,,15,,16.558,1027,,56,
Hexanoic acid,10.002,1142,,,,9.948,120711,,193907,,9.940,106665,,172418,
Heptanoic acid,12.808,596,,656,,12.937,97,,30,,13.590,4818,,25,
Octonoic acid,15.601,26437,,29361,,15.608,138885,,169825,,15.620,137876,,163714,
Dodecane (n-C12),16.187,17038,,44394,,15.604,6587,,99,,15.616,5754,,31,
Benzothiazole,17.871,209,,34,,17.878,120,,16,,17.860,596,,131,
Dichlorvos,18.115,121014,,50515,1135,18.122,4,,5,6,18.148,4,,7,12
Nonanoic acid,18.420,118601,,106990,,18.437,24719,,21793,,18.446,6253,,16499,
Tridecane (n-C13),18.980,5545,,6104,,18.997,86,,,,19.137,78,,67,
2-Methylnaphthalene,19.922,292680,,315589,95671,19.908,45,,73,27,19.930,24,,117,
1-Methylnaphthalene,20.325,296341,,328129,103896,20.315,76,,35,240,20.178,21,,119,
Decanoic acid,21.091,21287,,19400,11239,21.111,151464,,120914,70712,21.113,134802,,113256,47568
"1,2-Benzenedicarboxylic acid",21.386,1687,,2483,,21.413,107,,,,21.455,1228,,153,
Tetradecane (n-C14),21.725,29514,,57128,,21.728,114,,,,21.730,165,,,
Biphenyl,22.145,377866,,48867,,22.155,51,,,,22.069,17,,,
"2,6-Methylnaphthalene",23.033,134711,,117327,,23.033,17,,18,,23.021,35,,,
C2-Naphthalenes,23.033,134081,,117432,,23.033,17,,21,,23.021,37,,,
Dimethyl phthalate (DMP),24.005,389777,,460,46481,24.002,19,,6,,24.048,31,,14,
Acenaphthylene,24.138,478644,,25686,,24.171,137,,15,,24.170,70,,32,
Pentadecane (n-C15),24.212,1403,,2659,,24.629,30,,30,,24.651,78,,105,
Acenaphthene,25.029,362964,,49329,,24.700,24,,48,,25.024,53,,61,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.879,659,,152,236,26.093,939,,8,12,26.091,1263,,9,
Dodecanoic acid,26.079,24565,,15289,6868,26.090,183714,,104042,54609,26.095,168115,,95619,45949
C3-Naphthalenes,27.049,122958,,147991,,26.347,17,,,,26.349,11,,,
Hexadecane (n-C16),26.723,36390,,67721,,26.096,15133,,21773,,26.098,24392,,15953,
"2,3,5-Trimethylnaphthalene",27.049,122976,,147972,,27.062,6,,,,27.101,25,,15,
Diethyl Phthalate (DEP-D4),27.259,475013,,39684,,27.147,15,,27,,27.433,17,,13,
Diethyl phthalate (DEP),27.299,465199,,40870,,27.320,6107,,80,,27.322,8157,,94,
Fluorene,27.672,327254,,347999,,27.686,47,,,,27.705,76,,67,
Benzophenone,28.496,96,,249,,28.523,39,,10,,28.569,68,,6,
C4-Naphthalenes,31.637,18161,,3670,,29.021,69,,18,,29.050,6,,11,
Heptadecane (n-C17),29.041,2248,,5543,,29.214,87,,25,,28.853,133,,495,
4-Bromodiphenyl ether (BDE 3),29.916,98921,,105413,,29.865,46,,,,29.918,7956,,571,
Diacetamate,30.183,485,,18,,30.163,2920,,56,,30.155,2754,,12,
Tetradecanoic acid,30.644,19254,,12579,9619,30.641,92228,,55246,45177,30.646,91780,,63367,45189
Octadecane (n-C18),31.234,44601,,86205,,30.651,8132,,19427,,30.636,8104,,16744,
Tri(2-chloroethyl) phosphate (TCEP),31.590,1128,,1073,,31.651,34,,32,,31.676,17,,245,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3152,,42,,32.024,1141,,15,,32.086,43,,30,
Phenanthrene,32.335,258084,,32850,,32.261,28,,76,,32.341,37,,,
Anthracene,32.654,515819,,55105,,32.613,59,,19,,32.578,33,,48,
Pentadecanoic acid,32.962,18951,,2307,11025,32.861,202,,,41,32.856,32770,,261,433
Diisobutyl phthalate,33.135,711743,,4841,,33.138,4064,,,,33.140,6597,,,
Nonadecane  (n-C19),33.315,4693,,6444,,33.494,23,,,,33.432,90,,97,
Dinonacyl amine (?),33.511,80,,,,34.009,89,,8,,34.049,2393,,307,
Aspirin,33.894,27,,,,33.854,24,,14,,33.886,26,,,
Caffeine,34.223,3093,,9446,,34.209,85,,,,34.177,37,,,
n-Hexadecanoic acid,34.819,51565,,29447,19177,34.819,96694,,50988,37668,34.815,102424,,53590,36282
C1-Phenanthrenes,35.436,224561,,31757,,35.399,39,,34,,35.106,38,,15,
"2,4-Dibromodiphenyl ether (BDE 7)",35.141,67376,,32787,,35.063,6,,,,35.499,26,,,
Dibutyl phthalate,35.131,863213,,7545,,35.145,7771,,632,,35.143,9827,,,
Eicosane (n-C20),35.335,50845,,89275,,34.813,17531,,34657,,34.808,19353,,38507,
1-Methylphenanthrene,35.436,224385,,34373,,35.467,182,,40,,35.455,97,,,
Chlorpyrifos,35.860,80253,,60489,,36.100,3,,5,,36.282,3,,,
bis(2-Methoxyethyl)phthalate,36.090,51951,,45588,,35.945,2173,,74,,35.936,1517,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.826,129584,,61386,,36.832,9,,,,36.394,7,,1,
bis(4-Methyl-2-pentyl)phthalate,37.066,194613,,25263,,37.107,7,,,,37.031,42,,5,
Heneicosane,37.392,2327,,3249,,37.222,61,,102,,37.190,30,,,
1-Hexadecanol,36.693,5682,,6408,,37.395,191,,,,37.190,138,,99,
Didecyl amine (?),37.663,1717,,6,,37.693,1511,,5,,37.695,3585,,25,
C2-Phenanthrenes,38.496,2723,,,,37.659,15,,,,37.949,934,,1775,
bis(2-Ethoxyethyl)phthalate,38.191,80625,,37053,,38.327,13,,,,37.973,591,,201837,
Fluoranthene,38.273,345622,,24835,,38.286,15,,36,,38.329,183,,9,
"9,17-Octadecadienal, (Z)-",38.649,4154,,93,,38.656,8053,,23,,38.647,9104,,12,
Octadecanoic acid,38.652,30821,,14949,13836,38.656,34791,,20768,19069,38.664,44844,,26523,20986
Dipentyl phthalate (DPP),38.747,858253,,9439,5043,38.683,47,,3,9,39.271,41,,18,
Docosane (n-C22),39.096,62109,,100679,,38.740,606,,,,38.658,12394,,21625,
Pyrene,39.327,364413,,33689,,39.381,227,,,,39.356,93,,22,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.893,10768,,1081,344,39.784,7276,,179,92,39.793,2638,,150,19
"p,p'-DDE",39.879,227846,,111897,,39.876,4,,3,,39.850,8,,6,
d14-Terphenyl (IS),40.187,1046929,,71342,,40.211,23,,,,40.220,40,,11,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,124593,,126810,66446,40.452,5,,4,5,40.545,7,,,8
Tricosane (n-C23),40.852,2186,,1922,4219,40.933,15,,80,,40.847,47,,,73
