Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LF-1,,,Qualifier 1 Results,Qualifier 2 Results,LF-1_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.580,463616,,39081,,16.549,74279,,7775,,16.552,6714,,673,
Hexanoic acid,10.002,1142,,,,9.828,324016,,528438,,9.829,2974,,,
Heptanoic acid,12.808,596,,656,,12.750,157084,,240300,,12.736,3662,,7292,
Octonoic acid,15.601,26437,,29361,,15.752,559627,,650784,,15.614,26809,,23805,
Dodecane (n-C12),16.187,17038,,44394,,16.159,499227,,1080452,,16.156,36183,,88995,
Naphthalene-D8,16.485,460057,,45974,,16.447,2581450,,249625,,16.451,196547,,21007,
Benzothiazole,17.871,209,,34,,17.843,66220,,17581,,17.857,5308,,1693,
Dichlorvos,18.115,121014,,50515,1135,17.836,2067,,7,21,18.179,5,,1,
Nonanoic acid,18.420,118601,,106990,,18.606,1874072,,1733835,,18.420,93983,,65969,
Tridecane (n-C13),18.980,5545,,6104,,18.982,141638,,161619,,18.992,12200,,14858,
2-Methylnaphthalene,19.922,292680,,315589,95671,19.924,16784,,17905,4948,19.934,2107,,1998,817
1-Methylnaphthalene,20.325,296341,,328129,103896,20.327,13359,,15030,7679,20.321,2012,,2060,895
Decanoic acid,21.091,21287,,19400,11239,21.201,994624,,843550,515987,21.087,38961,,26596,19855
"1,2-Benzenedicarboxylic acid",21.386,1687,,2483,,21.344,1181290,,701569,,21.368,68693,,58401,
Tetradecane (n-C14),21.725,29514,,57128,,21.730,1569212,,2649276,,21.720,111155,,218873,
Biphenyl,22.145,377866,,48867,,22.147,28985,,701303,,22.158,3467,,53118,
"2,6-Methylnaphthalene",23.033,134711,,117327,,23.048,7832,,7312,,23.042,632,,322,
C2-Naphthalenes,23.033,134081,,117432,,23.048,8270,,7406,,23.042,647,,372,
Dimethyl phthalate (DMP),24.005,389777,,460,46481,24.014,17439,,,2111,24.018,1882,,16,148
Acenaphthylene,24.138,478644,,25686,,24.146,72360,,5276,,24.154,6349,,446,
Pentadecane (n-C15),24.212,1403,,2659,,24.285,49546,,71838,,24.523,3165,,5372,
Acenaphthene,25.029,362964,,49329,,25.051,9715,,20441,,25.035,583,,1447,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.879,659,,152,236,26.197,24317,,152,,26.096,990,,25,
Dodecanoic acid,26.079,24565,,15289,6868,26.204,2757206,,1897005,1010634,26.092,114802,,60605,44635
C3-Naphthalenes,27.049,122958,,147991,,26.342,5782,,6568,,26.340,547,,563,
Hexadecane (n-C16),26.723,36390,,67721,,26.732,1236148,,1909276,,26.719,85985,,158952,
"2,3,5-Trimethylnaphthalene",27.049,122976,,147972,,27.051,1839,,3211,,27.021,189,,69,
Diethyl Phthalate (DEP-D4),27.259,475013,,39684,,27.241,3597,,299,,27.234,250,,,
Diethyl phthalate (DEP),27.299,465199,,40870,,27.305,290668,,25222,,27.299,29236,,2845,
Fluorene,27.672,327254,,347999,,27.681,10625,,13566,,27.678,797,,,
Benzophenone,28.496,96,,249,,28.508,329552,,81700,,28.525,26693,,7331,
C4-Naphthalenes,31.637,18161,,3670,,29.040,3454,,10805,,29.647,480,,391,
Heptadecane (n-C17),29.041,2248,,5543,,29.047,185426,,210396,,29.034,13374,,26242,
4-Bromodiphenyl ether (BDE 3),29.916,98921,,105413,,29.908,617,,36,,29.857,28,,,
Diacetamate,30.183,485,,18,,30.294,24916,,3278,,29.834,1604,,187,
Tetradecanoic acid,30.644,19254,,12579,9619,30.819,9279250,,6197821,4772471,30.660,465057,,221205,237323
Octadecane (n-C18),31.234,44601,,86205,,31.314,96749,,125554,,31.233,51037,,89230,
Tri(2-chloroethyl) phosphate (TCEP),31.590,1128,,1073,,31.602,15653,,18930,,31.596,1283,,1412,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3152,,42,,32.056,121157,,5121,,32.033,12117,,517,
Phenanthrene,32.335,258084,,32850,,32.341,257276,,30995,,32.338,20273,,3080,
Anthracene,32.654,515819,,55105,,32.656,116966,,15881,,32.663,9148,,1774,
Pentadecanoic acid,32.962,18951,,2307,11025,32.890,4573695,,2857517,1885120,32.778,193880,,92688,83465
Diisobutyl phthalate,33.135,711743,,4841,,33.147,14764663,,95784,,33.134,1501638,,9314,
Nonadecane  (n-C19),33.315,4693,,6444,,33.327,623550,,876540,,33.314,37729,,60598,
Dinonacyl amine (?),33.511,80,,,,33.330,40591,,1680,,33.317,3160,,,
Aspirin,33.894,27,,,,33.890,233640,,98103,,33.866,20934,,8871,
Caffeine,34.223,3093,,9446,,34.174,84354,,13560,,34.171,8821,,6314,
n-Hexadecanoic acid,34.819,51565,,29447,19177,35.140,46930596,,30473550,22656339,34.883,3383121,,1508967,1532640
