Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.587,494176,,41191,,16.547,78150,,7100,,16.547,21919,,1962,,16.545,26358,,2118,,16.546,31151,,2678,,16.550,28331,,2859,,16.543,6417,,414,,16.554,3483,,181,,16.558,3431,,156,,16.559,4546,,190,
Hexanoic acid,9.924,19239,,36249,,9.894,16644,,,,9.915,650614,,1071051,,9.944,718742,,905169,,9.751,100720,,159777,,9.748,102720,,162263,,9.833,6885,,,,9.715,29284,,42241,,9.706,41133,,39698,,9.859,1209,,271,
Heptanoic acid,12.971,195,,323,,14.025,2186432,,17102,,12.762,160426,,257955,,12.780,189129,,212774,,12.693,36529,,61817,,12.693,37968,,62580,,13.890,86517,,124,,12.714,5784,,8069,,12.708,8931,,10010,,12.939,167,,200,
Octonoic acid,15.604,24285,,31811,,15.774,273839,,41700,,15.717,384686,,437868,,15.732,433679,,379809,,15.655,146703,,166285,,15.655,146331,,170294,,15.618,13920,,12237,,15.615,16625,,17138,,15.606,23802,,19684,,15.633,6698,,4280,
Dodecane (n-C12),16.183,17668,,46810,,16.160,482573,,1240175,,16.164,390117,,1041028,,16.159,452370,,1195847,,16.160,511507,,1321121,,16.164,512849,,1337527,,16.153,32543,,76687,,16.151,33537,,87423,,16.155,41268,,103950,,16.155,46892,,116564,
Naphthalene-D8,16.488,489376,,49917,,16.448,2560783,,245709,,16.445,2170718,,187211,,16.450,2522274,,218808,,16.451,2593251,,226097,,16.452,2627903,,227190,,16.452,158145,,17133,,16.449,149363,,16620,,16.453,178240,,20423,,16.447,186349,,19414,
Benzothiazole,17.861,414,,32,,17.841,132233,,40228,,17.842,43705,,13537,,17.836,48582,,15128,,17.844,35705,,11354,,17.848,30870,,10299,,17.858,8620,,2780,,17.848,3136,,1019,,17.853,4079,,934,,17.857,2416,,421,
Dichlorvos,18.112,129279,,55595,1226,18.017,427,,12,3,17.838,1132,,3,,17.836,1404,,,5,17.851,1069,,9,,17.844,811,,9,6,18.224,8,,5,,18.096,11,,19,17,18.283,9,,3,4,17.918,8,,,3
Nonanoic acid,18.420,127635,,114096,,18.594,740801,,667651,,18.546,974812,,918025,,18.568,1088509,,767894,,18.491,404548,,384256,,18.495,423250,,394578,,18.417,33430,,20652,,18.414,49704,,33218,,18.425,51037,,40182,,18.463,8383,,,
Tridecane (n-C13),18.989,5184,,5991,,18.987,133220,,130811,,18.987,88569,,99425,,18.982,104974,,131492,,18.990,117125,,155705,,18.990,119630,,145894,,18.976,7450,,9562,,18.974,8420,,9642,,18.978,10437,,11021,,18.978,12084,,12680,
2-Methylnaphthalene,19.928,321148,,348538,104973,19.929,48035,,51391,16711,19.926,9159,,10098,3934,19.931,10274,,11582,4430,19.932,18842,,19570,5932,19.929,19674,,20399,6010,19.946,3826,,4178,1447,19.929,1266,,1254,4396,19.933,1269,,1749,492,19.937,2229,,2303,360
1-Methylnaphthalene,20.324,318758,,359712,112888,20.325,25518,,27230,9508,20.319,7509,,8207,2225,20.327,8395,,9091,2643,20.328,14012,,15353,5320,20.332,14173,,15139,5019,20.339,2931,,3819,1497,20.326,1797,,2224,,20.330,1756,,1865,557,20.327,2084,,2609,444
Decanoic acid,21.097,24421,,21590,9091,21.162,355337,,284548,172384,21.152,260002,,219104,142503,21.158,289785,,181216,154928,21.128,242858,,204940,125881,21.132,241354,,210424,128912,21.088,8195,,5993,4381,21.088,11629,,5805,5725,21.082,10013,,7285,6787,21.113,4571,,2897,2583
"1,2-Benzenedicarboxylic acid",21.389,2361,,,,21.389,17595855,,15898468,,21.356,5535002,,4022838,,21.358,5823028,,4162515,,21.348,2533608,,1795037,,21.349,2491023,,1755649,,21.349,1275606,,938700,,21.349,367977,,274645,,21.347,412134,,298886,,21.357,217778,,159922,
Tetradecane (n-C14),21.724,32608,,61826,,21.735,1492099,,2980158,,21.732,1159507,,2395454,,21.734,1322119,,2714636,,21.731,1450867,,2907547,,21.735,1468735,,2962634,,21.718,98154,,187670,,21.722,99442,,199653,,21.723,116128,,233335,,21.720,132948,,266461,
Biphenyl,22.148,406778,,42622,,22.149,49530,,15848162,,22.152,15998,,,,22.147,18587,,,,22.145,24597,,1799565,,22.152,23110,,1755649,,22.148,3042,,940425,,22.156,1791,,274936,,22.153,2381,,301370,,22.154,3044,,159370,
"2,6-Methylnaphthalene",23.032,144515,,127279,,23.047,20511,,17423,,23.054,5114,,4256,,23.052,5631,,5146,,23.043,6937,,6010,,23.046,6492,,5753,,23.050,1420,,1434,,23.034,537,,123,,23.068,174,,150,,23.031,242,,495,
C2-Naphthalenes,23.032,144128,,129293,,23.047,20508,,17666,,23.054,5198,,4217,,23.052,5691,,5198,,23.043,7054,,6065,,23.046,6479,,5761,,23.050,895,,1553,,23.034,415,,263,,23.394,542,,,,23.414,426,,242,
Dimethyl phthalate (DMP),24.008,436929,,343,56853,24.012,4415452,,4111,483313,24.013,26694,,,2666,24.011,28393,,,2898,24.012,35222,,,4247,24.016,34073,,,3944,24.012,269339,,247,30023,24.013,2287,,13,,24.004,2410,,8,,24.021,3150,,9,125
