Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Lucia,,,Qualifier 1 Results,Qualifier 2 Results,Lucia_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.580,463616,,39081,,16.556,26136,,2384,,16.551,3210,,308,
Hexanoic acid,10.002,1142,,,,9.741,64261,,109728,,9.983,327,,21,
Heptanoic acid,12.808,596,,656,,12.693,18346,,27134,,12.759,106,,137,
Octonoic acid,15.601,26437,,29361,,15.675,204512,,243149,,15.660,4068,,4647,
Dodecane (n-C12),16.187,17038,,44394,,16.163,486672,,1271749,,16.151,38299,,94472,
Naphthalene-D8,16.485,460057,,45974,,16.448,2381426,,232067,,16.449,165250,,14859,
Benzothiazole,17.871,209,,34,,17.844,34035,,8201,,17.879,1925,,464,
Dichlorvos,18.115,121014,,50515,1135,17.864,336,,13,4,18.313,5,,5,3
Nonanoic acid,18.420,118601,,106990,,18.508,435022,,410236,,18.628,559,,,
Tridecane (n-C13),18.980,5545,,6104,,18.982,107592,,129009,,18.977,9828,,10824,
2-Methylnaphthalene,19.922,292680,,315589,95671,19.928,10998,,12154,3625,19.940,718,,1401,321
1-Methylnaphthalene,20.325,296341,,328129,103896,20.335,8758,,9157,3054,20.357,1584,,127,
Decanoic acid,21.091,21287,,19400,11239,21.175,668339,,559459,339368,21.095,14826,,12734,6337
"1,2-Benzenedicarboxylic acid",21.386,1687,,2483,,21.355,225929,,135430,,21.383,2057,,,
Tetradecane (n-C14),21.725,29514,,57128,,21.731,1412547,,2883173,,21.722,110729,,217751,
Biphenyl,22.145,377866,,48867,,22.154,18882,,20065,,22.163,1454,,2097,
"2,6-Methylnaphthalene",23.033,134711,,117327,,23.039,4728,,4391,,23.034,345,,227,
C2-Naphthalenes,23.033,134081,,117432,,23.039,4993,,4377,,23.034,350,,241,
Dimethyl phthalate (DMP),24.005,389777,,460,46481,24.012,4948,,,,24.023,472,,7,
Acenaphthylene,24.138,478644,,25686,,24.151,4993,,8112,,24.169,93,,,
Pentadecane (n-C15),24.212,1403,,2659,,24.425,30600,,61639,,24.423,3462,,,
Acenaphthene,25.029,362964,,49329,,25.038,4654,,3476,,25.033,159,,2345,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.879,659,,152,236,26.208,24761,,54,59,25.786,52,,11,
Dodecanoic acid,26.079,24565,,15289,6868,26.208,2735546,,1917006,1015044,26.084,80125,,41371,30124
C3-Naphthalenes,27.049,122958,,147991,,26.347,3265,,3086,,26.324,42,,,
Hexadecane (n-C16),26.723,36390,,67721,,26.730,1099617,,2118555,,26.718,86654,,156130,
"2,3,5-Trimethylnaphthalene",27.049,122976,,147972,,27.051,1158,,816,,27.029,22,,78,
Diethyl Phthalate (DEP-D4),27.259,475013,,39684,,27.312,34,,137,,27.487,28,,8,
Diethyl phthalate (DEP),27.299,465199,,40870,,27.309,189694,,15598,,27.307,18049,,1992,
Fluorene,27.672,327254,,347999,,27.685,6050,,6801,,27.677,517,,667,
Benzophenone,28.496,96,,249,,28.502,46627,,22496,,28.524,3122,,2071,
C4-Naphthalenes,31.637,18161,,3670,,29.044,1379,,960,,29.049,119,,104,
Heptadecane (n-C17),29.041,2248,,5543,,29.044,98498,,195441,,29.042,7742,,12654,
4-Bromodiphenyl ether (BDE 3),29.916,98921,,105413,,29.902,414,,77,,29.866,11,,10,
Diacetamate,30.183,485,,18,,30.207,7397,,1021,,30.442,319,,28,
Tetradecanoic acid,30.644,19254,,12579,9619,30.789,6239127,,4058293,3155108,30.652,217675,,106382,113258
Octadecane (n-C18),31.234,44601,,86205,,31.240,601327,,1118419,,31.306,3890,,6874,
Tri(2-chloroethyl) phosphate (TCEP),31.590,1128,,1073,,31.596,18687,,20592,,31.591,1459,,1694,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3152,,42,,32.054,259216,,10881,,32.038,20964,,864,
Phenanthrene,32.335,258084,,32850,,32.335,97669,,12536,,32.350,7754,,1442,
Anthracene,32.654,515819,,55105,,32.657,22740,,18167,,32.662,2114,,1887,
Pentadecanoic acid,32.962,18951,,2307,11025,32.847,1735403,,1081221,736689,32.770,56920,,29509,20542
