Compound Method,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.547,78150,,7100,,16.547,21919,,1962,,16.546,31151,,2678,
Hexanoic acid,9.894,16644,,,,9.915,650614,,1071051,,9.751,100720,,159777,
Heptanoic acid,14.025,2186432,,17102,,12.762,160426,,257955,,12.693,36529,,61817,
Octonoic acid,15.774,273839,,41700,,15.717,384686,,437868,,15.655,146703,,166285,
Dodecane (n-C12),16.160,482573,,1240175,,16.164,390117,,1041028,,16.160,511507,,1321121,
Naphthalene-D8,16.448,2560783,,245709,,16.445,2170718,,187211,,16.451,2593251,,226097,
Benzothiazole,17.841,132233,,40228,,17.842,43705,,13537,,17.844,35705,,11354,
Dichlorvos,18.017,427,,12,3,17.838,1132,,3,,17.851,1069,,9,
Nonanoic acid,18.594,740801,,667651,,18.546,974812,,918025,,18.491,404548,,384256,
Tridecane (n-C13),18.987,133220,,130811,,18.987,88569,,99425,,18.990,117125,,155705,
2-Methylnaphthalene,19.929,48035,,51391,16711,19.926,9159,,10098,3934,19.932,18842,,19570,5932
1-Methylnaphthalene,20.325,25518,,27230,9508,20.319,7509,,8207,2225,20.328,14012,,15353,5320
Decanoic acid,21.162,355337,,284548,172384,21.152,260002,,219104,142503,21.128,242858,,204940,125881
"1,2-Benzenedicarboxylic acid",21.389,17595855,,15898468,,21.356,5535002,,4022838,,21.348,2533608,,1795037,
Tetradecane (n-C14),21.735,1492099,,2980158,,21.732,1159507,,2395454,,21.731,1450867,,2907547,
Biphenyl,22.149,49530,,15848162,,22.152,15998,,,,22.145,24597,,1799565,
"2,6-Methylnaphthalene",23.047,20511,,17423,,23.054,5114,,4256,,23.043,6937,,6010,
C2-Naphthalenes,23.047,20508,,17666,,23.054,5198,,4217,,23.043,7054,,6065,
Dimethyl phthalate (DMP),24.012,4415452,,4111,483313,24.013,26694,,,2666,24.012,35222,,,4247
Acenaphthylene,24.155,4657,,,,24.016,1958,,,,24.154,552,,7844,
Pentadecane (n-C15),24.287,44102,,,,24.294,39753,,45438,,24.293,49364,,119999,
Acenaphthene,25.039,7368,,102415,,25.036,3073,,54934,,25.042,5091,,11568,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",26.009,57464,,130,,26.199,20772,,126,,26.164,10912,,414,190
Dodecanoic acid,26.188,1697506,,1176373,627196,26.199,2131065,,1550344,729025,26.157,1129375,,798578,428035
C3-Naphthalenes,26.337,14733,,16193,,26.341,3227,,4153,,26.347,6904,,6932,
Hexadecane (n-C16),26.734,1221856,,2331016,,26.731,970451,,1776688,,26.733,1239807,,2360853,
"2,3,5-Trimethylnaphthalene",27.056,7085,,8301,,27.042,1832,,2992,,27.055,3407,,2943,
Diethyl Phthalate (DEP-D4),26.717,31169,,1682,,26.734,188384,,298,,27.648,1020,,513,
Diethyl phthalate (DEP),27.310,3006768,,262418,,27.307,195234,,18633,,27.303,163554,,15449,
Fluorene,27.683,30000,,30513,,27.680,4204,,5348,,27.686,6055,,6993,
Benzophenone,28.503,68960,,22469,,28.503,144220,,67164,,28.499,54213,,31296,
C4-Naphthalenes,29.025,9828,,16579,,29.049,2731,,6349,,29.048,3792,,20140,
Heptadecane (n-C17),29.045,249538,,441440,,29.049,73824,,92706,,29.041,154559,,523025,
4-Bromodiphenyl ether (BDE 3),29.923,1118,,85,,30.015,39,,,,29.824,26,,,
Diacetamate,30.197,10273,,427,,30.204,11853,,299,,30.200,6349,,465,
Tetradecanoic acid,30.787,5673024,,3627637,2947959,30.882,15082066,,9868986,8074488,30.770,4897863,,3179672,2521114
Octadecane (n-C18),31.305,75721,,,,31.245,517582,,983225,,31.244,946185,,1709006,
