Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,NAT,,,Qualifier 1 Results,Qualifier 2 Results,NAT_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.590,535641,,51906,,16.535,334998,,33451,,16.555,31119,,2879,
Hexanoic acid,9.979,23699,,31267,,9.737,111240,,184199,,10.191,260,,191,
Heptanoic acid,12.761,1649,,4055,,12.682,35042,,56588,,12.841,268,,324,
Octonoic acid,15.618,33255,,36167,,15.684,358488,,423002,,15.715,3626,,,
Dodecane (n-C12),16.184,19697,,50233,,16.155,624301,,1326087,,16.152,47714,,124276,
Naphthalene-D8,16.492,531196,,53922,,16.437,2529946,,242705,,16.450,216122,,23449,
Benzothiazole,17.871,591,,50,,17.833,51586,,12729,,17.856,4713,,741,
Dichlorvos,18.112,143788,,60003,1215,17.850,1474,,9,5,18.107,23,,10,
Nonanoic acid,18.427,157982,,152721,,18.494,539452,,487322,,18.443,19073,,17910,
Tridecane (n-C13),18.976,6334,,7187,,18.972,133739,,138371,,18.982,11911,,12001,
2-Methylnaphthalene,19.922,342450,,371115,115491,19.917,9848,,10742,3575,19.930,1156,,1515,
1-Methylnaphthalene,20.322,345740,,383578,122728,20.320,8571,,9897,3114,20.330,1730,,1724,
Decanoic acid,21.081,34202,,24607,14308,21.154,505642,,423446,253487,21.113,17699,,11552,6195
"1,2-Benzenedicarboxylic acid",21.416,5208,,2565,,21.347,201105,,125363,,21.388,3185,,,
Tetradecane (n-C14),21.721,34974,,67717,,21.727,1696256,,2829757,,21.720,137642,,269914,
Biphenyl,22.145,444150,,45930,,22.140,17992,,21254,,22.160,2229,,2997,
"2,6-Methylnaphthalene",23.022,158223,,138073,,23.059,4606,,4973,,23.065,467,,174,
C2-Naphthalenes,23.022,156051,,138666,,24.875,102497,,2401,,24.882,8732,,5217,
Dimethyl phthalate (DMP),24.002,467065,,194,52742,24.011,44943,,,5258,24.018,461,,,
Acenaphthylene,24.137,559471,,30959,,24.140,4596,,4348,,24.156,23,,268,
Pentadecane (n-C15),24.273,936,,,,24.414,36737,,,,24.424,2728,,5366,
Acenaphthene,25.032,435781,,57706,,25.038,5976,,5153,,25.044,450,,166,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.873,990,,171,248,26.221,33281,,109,148,26.108,1151,,18,28
Dodecanoic acid,26.079,35162,,22713,10999,26.221,3825995,,2685834,1415935,26.092,155974,,87195,59910
C3-Naphthalenes,27.038,144565,,170179,,26.346,3747,,3589,,26.315,24,,76,
Hexadecane (n-C16),26.720,43868,,81939,,26.729,1420966,,2226777,,26.722,112191,,206197,
"2,3,5-Trimethylnaphthalene",27.038,144515,,170912,,27.044,1417,,1867,,27.061,33,,75,
Diethyl Phthalate (DEP-D4),27.255,508083,,45333,,27.861,259,,377,,27.101,43,,25,
Diethyl phthalate (DEP),27.299,543282,,43787,,27.302,102402,,8997,,27.312,13031,,1428,
Fluorene,27.675,395878,,475588,,27.681,6597,,8710,,27.705,495,,1090,
Benzophenone,28.509,949,,115,,28.505,139435,,63319,,28.515,12272,,2232,
C4-Naphthalenes,31.634,24703,,4545,,29.040,800,,5626,,29.050,9,,,
Heptadecane (n-C17),29.041,2488,,4742,,29.047,93480,,180366,,29.043,9197,,18164,
4-Bromodiphenyl ether (BDE 3),29.902,118787,,123588,,29.823,39,,38,,29.863,19,,,
Diacetamate,30.190,1695,,52,,30.206,6440,,457,,30.206,392,,18,
Tetradecanoic acid,30.641,26259,,15608,12880,30.751,4282165,,2801003,2133132,30.646,168035,,82871,88082
Octadecane (n-C18),31.237,54016,,102157,,31.321,77768,,,,31.314,6959,,10572,
Tri(2-chloroethyl) phosphate (TCEP),31.590,954,,1413,,31.589,4998,,3323,,31.724,36,,28,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.034,3259,,47,,32.046,108504,,4747,,32.029,12215,,611,
Phenanthrene,32.332,309762,,37730,,32.338,82243,,10909,,32.341,8000,,1404,
Anthracene,32.647,627196,,62342,,32.659,9833,,4694,,32.652,910,,393,
Pentadecanoic acid,32.966,28687,,3345,16218,32.815,883934,,552269,347473,32.771,29687,,12832,12076
Diisobutyl phthalate,33.135,846564,,5666,,33.143,7634649,,48083,,33.130,812888,,5714,
Nonadecane  (n-C19),33.311,5031,,8705,,33.327,687663,,1046505,,33.323,40831,,58813,
Dinonacyl amine (?),33.304,317,,,,33.334,57589,,4957,,33.815,73007,,961,
