Compound Method,XL,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,XL_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.545,46971,,4115,,16.603,823546,,65836,,16.545,4809,,312,
Hexanoic acid,9.923,630167,,1044758,,10.080,52434,,65982,,9.710,25705,,35329,
Heptanoic acid,12.797,256188,,406097,,12.784,4839,,7319,,12.699,8467,,9040,
Octonoic acid,15.824,1261908,,1451405,,15.651,72268,,60611,,15.617,53132,,47955,
Dodecane (n-C12),16.162,512152,,1324807,,16.197,30189,,73017,,16.152,43235,,104386,
Naphthalene-D8,16.450,2605486,,253974,,16.505,818615,,80510,,16.450,193303,,17590,
Benzothiazole,17.843,41375,,12979,,17.868,1601,,268,,17.850,923,,285,
Dichlorvos,17.854,1302,,7,6,18.115,183800,,99122,2187,18.125,5,,,6
Nonanoic acid,18.697,3567192,,3337678,,18.444,228122,,162966,,18.446,178864,,127370,
Tridecane (n-C13),18.985,124472,,148511,,18.986,10872,,14894,,18.975,12084,,11824,
2-Methylnaphthalene,19.934,15465,,17609,5013,19.918,555681,,593443,218404,19.941,1703,,1920,738
1-Methylnaphthalene,20.327,13743,,14225,5337,20.321,549664,,599035,224602,20.324,2015,,2316,712
Decanoic acid,21.297,2956083,,2409287,1519647,21.097,56238,,34581,27479,21.100,130279,,80335,62069
"1,2-Benzenedicarboxylic acid",21.351,695133,,408285,,21.365,8526,,73280,,21.368,40718,,30373,
Tetradecane (n-C14),21.734,1392934,,2815932,,21.711,51312,,101621,,21.717,116164,,223347,
Biphenyl,22.147,30825,,21458,,22.141,710637,,73725,,22.157,2805,,1804,
"2,6-Methylnaphthalene",23.049,7343,,6543,,23.025,226214,,218947,,23.055,632,,128,
C2-Naphthalenes,23.049,7321,,6635,,23.025,226293,,219059,,23.055,654,,283,
Dimethyl phthalate (DMP),24.021,15260,,,1772,24.005,758121,,639,82904,24.021,1226,,12,78
Acenaphthylene,24.147,319164,,15739,,24.134,887608,,50306,,24.143,25191,,1750,
Pentadecane (n-C15),24.289,51893,,,,24.229,3825,,,,24.279,3649,,8646,
Acenaphthene,25.045,27108,,17156,,25.028,764709,,89262,,25.035,2609,,1146,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",26.261,43555,,155,,25.862,1405,,282,781,26.082,2237,,4,11
Dodecanoic acid,26.258,5039807,,3477518,1829417,26.086,40730,,25114,14148,26.099,228759,,122207,87918
C3-Naphthalenes,26.350,4731,,5214,,27.041,228037,,271969,,26.353,549,,293,
Hexadecane (n-C16),26.732,1108415,,2091009,,26.713,67256,,123754,,26.719,91041,,168235,
"2,3,5-Trimethylnaphthalene",27.044,2288,,1349,,27.041,228437,,271909,,27.064,112,,52,
Diethyl Phthalate (DEP-D4),27.143,173,,357,,27.251,898030,,74910,,26.973,81,,29,
Diethyl phthalate (DEP),27.305,165593,,14203,,27.292,839997,,72040,,27.312,16431,,1711,
Fluorene,27.681,31686,,41603,,27.672,597053,,718340,,27.695,2515,,3058,
Benzophenone,28.505,105857,,42407,,28.478,755,,718,,28.512,6354,,1586,
C4-Naphthalenes,29.030,1315,,5970,,31.633,44283,,6251,,29.023,203,,,
Heptadecane (n-C17),29.050,111752,,176896,,29.037,5573,,7329,,29.040,8433,,17051,
4-Bromodiphenyl ether (BDE 3),29.908,751,,71,,29.905,219896,,222331,,29.840,24,,,
Diacetamate,30.210,5152,,,,30.176,3101,,63,,30.243,2708,,547,
Tetradecanoic acid,30.809,7338672,,4726275,3840891,30.647,34053,,17905,16219,30.653,346019,,166414,178590
Octadecane (n-C18),31.243,611747,,1118151,,31.227,85685,,148778,,31.304,4746,,4535,
Tri(2-chloroethyl) phosphate (TCEP),31.609,9242,,11906,,31.589,1097,,2229,,31.616,92,,,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.053,59069,,2559,,32.030,5750,,183,,32.033,5226,,135,
Phenanthrene,32.338,834162,,95952,,32.338,468689,,69044,,32.338,55017,,9328,
Anthracene,32.653,560633,,55176,,32.650,969722,,111976,,32.656,35991,,5026,
Pentadecanoic acid,32.866,2206667,,1375899,912428,32.979,22169,,3541,15861,32.771,74512,,41416,27778
Diisobutyl phthalate,33.148,9269610,,57406,,33.131,1309729,,8463,,33.131,835132,,5723,
Nonadecane  (n-C19),33.327,580362,,1113508,,33.294,7841,,12686,,33.317,40867,,64953,
Dinonacyl amine (?),34.083,1410596,,6834,,33.335,719,,,,33.310,4010,,,
Aspirin,33.883,229081,,104709,,33.867,240,,1521,,33.869,20187,,8260,
Caffeine,34.175,326764,,42787,,34.209,5454,,26206,,34.168,24773,,4880,
n-Hexadecanoic acid,35.069,22405783,,14145562,10828705,34.826,123389,,55788,54802,34.852,1295746,,594275,603804
C1-Phenanthrenes,34.981,99632,,,,35.436,438383,,61801,,34.971,7856,,,
"2,4-Dibromodiphenyl ether (BDE 7)",35.056,656,,892,,35.134,126283,,61218,,34.998,6,,,
Dibutyl phthalate,35.155,30150999,,273157,,35.131,1572336,,13274,,35.132,3084868,,25025,
Eicosane (n-C20),35.350,317978,,644751,,35.334,94560,,163644,,35.337,26239,,47631,
1-Methylphenanthrene,35.449,51444,,955,,35.436,438289,,61651,,35.432,5910,,854,
Chlorpyrifos,35.883,750,,,,35.859,146254,,102068,,35.838,225,,3,
bis(2-Methoxyethyl)phthalate,35.930,195098,,,,36.097,127648,,84772,,35.818,16291,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.831,10,,9,,36.825,262791,,126196,,36.479,13,,9,
bis(4-Methyl-2-pentyl)phthalate,37.194,6108,,2008,,37.066,378386,,39597,,37.177,279,,15,
Heneicosane,37.269,523754,,1108846,,37.059,30922,,1987,,37.248,20753,,32641,
1-Hexadecanol,37.272,3018597,,4763158,,36.696,10436,,13190,,37.526,212749,,265611,
Didecyl amine (?),37.804,1272410,,3488,,37.713,9501,,14,,37.668,316430,,5611,
C2-Phenanthrenes,37.604,51801,,42006,,38.499,5712,,,,37.594,6116,,2975,
bis(2-Ethoxyethyl)phthalate,38.214,9968,,,,38.184,150203,,72562,,38.133,689,,,
Fluoranthene,38.272,3246409,,215314,,38.272,674928,,49478,,38.272,245880,,25284,
"9,17-Octadecadienal, (Z)-",38.411,25428157,,,,38.154,59735,,952,,38.285,1219015,,207840,
Octadecanoic acid,38.529,5853794,,2540804,886792,38.669,35599,,19056,14108,38.668,308251,,137706,167267
Dipentyl phthalate (DPP),38.848,88566,,1121,,38.750,1588404,,15421,7744,38.983,6891,,19,
Docosane (n-C22),39.109,447365,,833061,,39.086,110483,,188296,,39.082,36776,,62267,
Pyrene,39.332,2471544,,209618,,39.326,706623,,62245,,39.322,189483,,20637,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.722,1063053,,167668,56571,39.675,18867,,2206,1131,39.705,53486,,10399,3704
"p,p'-DDE",39.892,1707,,777,,39.879,388359,,203050,,39.885,84,,,
d14-Terphenyl (IS),40.203,4031038,,261705,,40.187,2151965,,141417,,40.186,299374,,23250,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.197,707,,3776,9,40.594,244466,,249720,128000,40.722,14,,,4
Tricosane (n-C23),40.868,659395,,1047031,1913939,40.855,3014,,5518,8519,40.939,7415,,11176,25108
C3-Phenanthrenes,40.963,6853,,,,40.177,800,,,,40.939,547,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.505,190,,251,,41.485,222384,,223650,,41.491,24,,14,
