Compound Method,YF2,,,Qualifier 1 Results,Qualifier 2 Results,YF2,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,YF2_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Naphthalene,16.541,24757,,2480,,16.549,23839,,2063,,16.596,592550,,54378,,16.551,2927,,87,
Hexanoic acid,9.733,73774,,118700,,9.744,74560,,119471,,10.049,45059,,54589,,9.997,436,,,
Heptanoic acid,12.691,28930,,49269,,12.699,30532,,47839,,12.781,4025,,5508,,13.555,1281,,38,
Octonoic acid,15.670,234216,,261369,,15.678,232880,,273699,,15.648,56569,,52318,,15.643,2129,,5406,
Dodecane (n-C12),16.162,348416,,930491,,16.159,348836,,915697,,16.186,24928,,63614,,16.154,27529,,71943,
Naphthalene-D8,16.450,1804080,,177269,,16.451,1791917,,176446,,16.502,695750,,67881,,16.449,121985,,12096,
Benzothiazole,17.846,42045,,10066,,17.851,42696,,10106,,17.881,1121,,299,,17.862,2893,,267,
Dichlorvos,17.873,169,,,20,17.874,110,,36,10,18.115,158941,,81675,1919,18.259,6,,,5
Nonanoic acid,18.541,750770,,770249,,18.542,814254,,746589,,18.447,188068,,136112,,18.435,27969,,23626,
Tridecane (n-C13),18.985,86877,,102874,,18.982,86389,,102233,,18.989,8835,,11621,,18.981,7223,,8474,
2-Methylnaphthalene,19.930,9096,,9845,2896,19.921,9004,,9282,2981,19.918,467064,,491488,182935,19.943,1119,,1196,
1-Methylnaphthalene,20.327,7868,,8816,2870,20.321,8141,,8616,2742,20.317,457715,,503120,186874,20.346,1258,,1825,
Decanoic acid,21.174,652412,,532678,334455,21.175,655693,,535403,328208,21.097,47010,,29488,26329,21.119,20965,,9732,8547
"1,2-Benzenedicarboxylic acid",21.357,64526,,40842,,21.358,65122,,37697,,21.354,7297,,63096,,21.397,383,,,
Tetradecane (n-C14),21.730,1025722,,2099215,,21.727,1010467,,2060999,,21.710,42999,,88726,,21.726,80232,,155840,
Biphenyl,22.157,15194,,16962,,22.151,14332,,15885,,22.137,606218,,63442,,22.163,1031,,1764,
"2,6-Methylnaphthalene",23.048,3974,,4481,,23.053,4069,,3601,,23.025,187488,,182413,,23.061,145,,32,
C2-Naphthalenes,23.048,4233,,4385,,23.053,4148,,3560,,23.025,187397,,182482,,24.884,5263,,2371,
Dimethyl phthalate (DMP),24.017,12410,,,1418,24.012,12641,,,1507,24.001,644924,,546,65346,24.027,559,,7,108
Acenaphthylene,24.146,7632,,3762,,24.144,11067,,1603,,24.133,753088,,43532,,24.176,101,,,
Pentadecane (n-C15),24.227,48258,,93498,,24.286,24270,,48089,,24.279,1301,,3273,,24.406,2418,,3504,
Acenaphthene,25.041,4662,,4985,,25.042,5451,,3832,,25.028,652015,,76631,,25.033,198,,130,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",26.159,14017,,36,35,26.143,14433,,46,,25.872,1120,,164,,26.152,45,,7,21
Dodecanoic acid,26.162,1264264,,878623,450601,26.160,1231458,,859819,443505,26.089,42173,,19973,11462,26.084,35622,,18516,13623
C3-Naphthalenes,26.335,3501,,4081,,26.343,3380,,3881,,27.041,191400,,230936,,26.362,446,,303,
Hexadecane (n-C16),26.732,885152,,1672288,,26.729,879447,,1649220,,26.716,56853,,106739,,26.721,70566,,126639,
"2,3,5-Trimethylnaphthalene",27.054,1527,,1076,,27.048,1510,,1420,,27.041,191347,,228454,,27.063,99,,104,
Diethyl Phthalate (DEP-D4),26.789,284,,377,,27.092,33,,,,27.251,765141,,64010,,27.345,31,,30,
Diethyl phthalate (DEP),27.308,141575,,11373,,27.306,140695,,12456,,27.292,713051,,60981,,27.301,14165,,1362,
Fluorene,27.684,6817,,10195,,27.675,7829,,9662,,27.671,507853,,609247,,27.711,632,,587,
Benzophenone,28.504,65316,,32009,,28.505,66982,,32626,,28.502,1430,,70,,28.517,5055,,2441,
